date,price,volume,company
2014-09-22,$25.265,209686640,AAPL
2014-09-22,$29.8635,35643880,GOOGL
2014-09-22,$76.80,31908240,META
2014-09-22,$47.06,38655550,MSFT
2014-09-23,$25.66,253023440,AAPL
2014-09-23,$29.559,28034220,GOOGL
2014-09-23,$78.29,36666690,META
2014-09-23,$46.56,33386790,MSFT
2014-09-24,$25.4375,239897040,AAPL
2014-09-24,$29.921,35156140,GOOGL
2014-09-24,$78.535,30638360,META
2014-09-24,$47.08,26533890,MSFT
2014-09-25,$24.4675,398757200,AAPL
2014-09-25,$29.2625,33317200,GOOGL
2014-09-25,$77.22,37392870,META
2014-09-25,$46.04,32927320,MSFT
2014-09-26,$25.1875,249107080,AAPL
2014-09-26,$29.395,25777400,GOOGL
2014-09-26,$78.79,28827060,META
2014-09-26,$46.41,27051350,MSFT
2014-09-29,$25.0275,197053040,AAPL
2014-09-29,$29.3905,22853180,GOOGL
2014-09-29,$79.00,33969370,META
2014-09-29,$46.44,26057810,MSFT
2014-09-30,$25.1875,220479920,AAPL
2014-09-30,$29.4205,31429380,GOOGL
2014-09-30,$79.04,35816980,META
2014-09-30,$46.36,32996820,MSFT
2014-10-01,$24.795,205601040,AAPL
2014-10-01,$28.9815,28953320,GOOGL
2014-10-01,$76.55,55006570,META
2014-10-01,$45.90,38050210,MSFT
2014-10-02,$24.975,190788600,AAPL
2014-10-02,$29.044,30821420,GOOGL
2014-10-02,$77.08,36468900,META
2014-10-02,$45.76,25297400,MSFT
2014-10-03,$24.905,173678320,AAPL
2014-10-03,$29.3125,24234320,GOOGL
2014-10-03,$77.44,23280910,META
2014-10-03,$46.09,32351720,MSFT
2014-10-06,$24.905,147122480,AAPL
2014-10-06,$29.389,25713920,GOOGL
2014-10-06,$77.555,25689890,META
2014-10-06,$46.09,20532430,MSFT
2014-10-07,$24.6875,168012800,AAPL
2014-10-07,$28.705,30880280,GOOGL
2014-10-07,$76.29,25241360,META
2014-10-07,$45.53,25617210,MSFT
2014-10-08,$25.20,229319280,AAPL
2014-10-08,$29.187,44134200,GOOGL
2014-10-08,$77.52,32853310,META
2014-10-08,$46.78,32977510,MSFT
2014-10-09,$25.255,309133320,AAPL
2014-10-09,$28.5405,48152860,GOOGL
2014-10-09,$75.91,32421030,META
2014-10-09,$45.85,34422150,MSFT
2014-10-10,$25.1825,264999080,AAPL
2014-10-10,$27.7595,59570120,GOOGL
2014-10-10,$72.91,52068580,META
2014-10-10,$44.03,51877600,MSFT
2014-10-13,$24.9525,213748240,AAPL
2014-10-13,$27.2375,55038980,GOOGL
2014-10-13,$72.99,43847640,META
2014-10-13,$43.65,37020680,MSFT
2014-10-14,$24.6875,253148680,AAPL
2014-10-14,$27.4345,52173440,GOOGL
2014-10-14,$73.59,50126990,META
2014-10-14,$43.73,38097300,MSFT
2014-10-15,$24.385,399771160,AAPL
2014-10-15,$27.0365,76162960,GOOGL
2014-10-15,$73.21,61397390,META
2014-10-15,$43.22,60188290,MSFT
2014-10-16,$24.065,288071320,AAPL
2014-10-16,$26.846,75683980,GOOGL
2014-10-16,$72.63,53456880,META
2014-10-16,$42.74,49007120,MSFT
2014-10-17,$24.4175,270895640,AAPL
2014-10-17,$26.1485,119844760,GOOGL
2014-10-17,$75.95,76263220,META
2014-10-17,$43.63,40654940,MSFT
2014-10-20,$24.94,302820160,AAPL
2014-10-20,$26.619,54948180,GOOGL
2014-10-20,$76.95,34555900,META
2014-10-20,$44.08,34523930,MSFT
2014-10-21,$25.6175,375146720,AAPL
2014-10-21,$26.9015,49187900,GOOGL
2014-10-21,$78.69,32176370,META
2014-10-21,$44.88,36234890,MSFT
2014-10-22,$25.7475,272560040,AAPL
2014-10-22,$27.1345,59469360,GOOGL
2014-10-22,$78.37,41799140,META
2014-10-22,$44.38,33570230,MSFT
2014-10-23,$26.2075,283040600,AAPL
2014-10-23,$27.6825,43017600,GOOGL
2014-10-23,$80.04,34892410,META
2014-10-23,$45.02,43844860,MSFT
2014-10-24,$26.305,187751520,AAPL
2014-10-24,$27.445,43453380,GOOGL
2014-10-24,$80.67,32123520,META
2014-10-24,$46.13,61053110,MSFT
2014-10-27,$26.2775,136344480,AAPL
2014-10-27,$27.494,31934440,GOOGL
2014-10-27,$80.28,29806870,META
2014-10-27,$45.91,30319900,MSFT
2014-10-28,$26.685,190756280,AAPL
2014-10-28,$27.947,34626300,GOOGL
2014-10-28,$80.77,61137040,META
2014-10-28,$46.49,29001420,MSFT
2014-10-29,$26.835,210182320,AAPL
2014-10-29,$27.9225,41052460,GOOGL
2014-10-29,$75.86,105883000,META
2014-10-29,$46.62,30274720,MSFT
2014-10-30,$26.745,162288000,AAPL
2014-10-30,$28.0135,32223540,GOOGL
2014-10-30,$74.11,83098240,META
2014-10-30,$46.05,30040850,MSFT
2014-10-31,$27.00,178203160,AAPL
2014-10-31,$28.3935,46783920,GOOGL
2014-10-31,$74.99,44472280,META
